	Sample	FileType	ARG	query-start	query-end	read_id	predicted_ARG-class	best-hit	probability	identity	alignment-length	alignment-bitscore	alignment-evalue	counts	In_CARD
Tub.31-k141_363091_1-1..170	Tub.31	Potential	VEB-1	1	170	k141_363091_1	aminoglycoside	undefined	0.246427372	56.4	172	190	2.41e-62	1	NA
Tub.31-k141_363091_1-1..170	Tub.31	Potential_loser	VEB-1	1	170	k141_363091_1	peptide	undefined	0.187435154	56.4	172	190	2.41e-62	1	NA
Tub.104-k141_601386_1-4..488	Tub.104	Potential	MULTIDRUG_ABC_TRANSPORTER	4	488	k141_601386_1	multidrug	gi:516795764:ref:WP_018105258.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	0.486237647	58.6	486	489	2.13e-169	1	NA
Tub.104-k141_601386_1-4..488	Tub.104	Potential_loser	MULTIDRUG_ABC_TRANSPORTER	4	488	k141_601386_1	aminoglycoside	undefined	0.13264465	58.6	486	489	2.13e-169	1	NA
Tub.104-k141_489838_1-6..183	Tub.104	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	6	183	k141_489838_1	aminoglycoside	undefined	0.314019431	50	182	141	4.89e-43	1	NA
Tub.104-k141_489838_1-6..183	Tub.104	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	6	183	k141_489838_1	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.236954551	50	182	141	4.89e-43	1	NA
Tub.82-k141_125161_28-7..227	Tub.82	Potential	MTRA	7	227	k141_125161_28	aminoglycoside	undefined	0.455338239	52.7	226	212	2.30e-69	1	NA
Tub.82-k141_125161_28-7..227	Tub.82	Potential_loser	MTRA	7	227	k141_125161_28	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.275563162	52.7	226	212	2.30e-69	1	NA
Tub.59-k141_536448_5-7..1023	Tub.59	Potential	MDTC	7	1023	k141_536448_5	aminocoumarin	CP001918.1.gene3441.p01|FEATURES|mdtC|multidrug|mdtC	0.683805373	58.5	1024	1116	0	1	NA
Tub.59-k141_536448_5-7..1023	Tub.59	Potential_loser	MDTC	7	1023	k141_536448_5	multidrug	CP001918.1.gene3441.p01|FEATURES|mdtC|multidrug|mdtC	0.285473244	58.5	1024	1116	0	1	NA
Tub.105-k141_56919_2-17..332	Tub.105	Probable	TETA(48)	17	332	k141_56919_2	tetracycline	APB03214.1|FEATURES|tetA(48)|tetracycline|tetA(48)	0.892739785	51.1	321	316	1.73e-107	1	NA
Tub.105-k141_56919_2-17..332	Tub.105	Potential_loser	TETA(48)	17	332	k141_56919_2	aminoglycoside	undefined	0.083737329	51.1	321	316	1.73e-107	1	NA
Tub.82-k141_510172_2-47..393	Tub.82	Potential	MDTA	47	393	k141_510172_2	multidrug	CP001918.1.gene3439.p01|FEATURES|mdtA|multidrug|mdtA	0.372555085	50	358	330	7.75e-111	1	NA
Tub.82-k141_510172_2-47..393	Tub.82	Potential_loser	MDTA	47	393	k141_510172_2	aminoglycoside	undefined	0.222378031	50	358	330	7.75e-111	1	NA
Tub.59-k141_443276_2-10..286	Tub.59	Potential	SUL4	10	286	k141_443276_2	multidrug	undefined	0.273209729	51.6	289	275	6.62e-93	1	NA
Tub.59-k141_443276_2-10..286	Tub.59	Potential_loser	SUL4	10	286	k141_443276_2	peptide	undefined	0.213302542	51.6	289	275	6.62e-93	1	NA
Tub.18-k141_420135_1-107..598	Tub.18	Potential	MULTIDRUG_ABC_TRANSPORTER	107	598	k141_420135_1	multidrug	gi:664556405:ref:WP_031071225.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	0.327660025	69	494	642	3.64e-229	1	NA
Tub.18-k141_420135_1-107..598	Tub.18	Potential_loser	MULTIDRUG_ABC_TRANSPORTER	107	598	k141_420135_1	peptide	undefined	0.214702588	69	494	642	3.64e-229	1	NA
Tub.34-k141_679155_2-9..156	Tub.34	Probable	AAC(6')-I	9	156	k141_679155_2	aminoglycoside	AB116646.1.gene1.p01|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	0.98496005	50.3	157	138	8.99e-43	1	NA
Tub.59-k141_404825_1-18..362	Tub.59	Probable	EFRB	18	362	k141_404825_1	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.858829418	50.1	345	339	2.09e-112	1	NA
Tub.59-k141_404825_1-18..362	Tub.59	Potential_loser	EFRB	18	362	k141_404825_1	aminoglycoside	undefined	0.073815627	50.1	345	339	2.09e-112	1	NA
Tub.64-k141_220123_1-35..299	Tub.64	Potential	RM3	35	299	k141_220123_1	aminoglycoside	undefined	0.36845387	52.8	265	286	1.68e-96	1	NA
Tub.64-k141_220123_1-35..299	Tub.64	Potential_loser	RM3	35	299	k141_220123_1	multidrug	undefined	0.276972931	52.8	265	286	1.68e-96	1	NA
Tub.58-k141_661928_1-95..521	Tub.58	Probable	ROSB	95	521	k141_661928_1	fosmidomycin	gi:544012122:gb:ERK10884.1:|FEATURES|rosB|fosmidomycin|rosB	0.966226661	53.1	441	400	4.28e-136	1	NA
Tub.31-k141_363440_2-1..543	Tub.31	Probable	ROSB	1	543	k141_363440_2	fosmidomycin	gi:896190680:ref:WP_049199932.1:|FEATURES|rosB|fosmidomycin|rosB	0.999895411	56.1	561	548	9.14e-192	1	NA
Tub.30-k141_465155_1-1..103	Tub.30	Probable	BRP(MBL)	1	103	k141_465155_1	glycopeptide	YP_007652797.1|FEATURES|BRP(MBL)|glycopeptide|BRP(MBL)	0.983487587	60.2	103	135	1.11e-41	1	NA
Tub.104-k141_214663_5-1..109	Tub.104	Potential	RBPA	1	109	k141_214663_5	peptide	undefined	0.258905173	61.8	110	134	1.55e-42	1	NA
Tub.104-k141_214663_5-1..109	Tub.104	Potential_loser	RBPA	1	109	k141_214663_5	multidrug	undefined	0.225528773	61.8	110	134	1.55e-42	1	NA
Tub.85-k141_119072_95-1..1028	Tub.85	Potential	ACRB	1	1028	k141_119072_95	multidrug	gi:446414955:ref:WP_000492810.1:|FEATURES|acrB|multidrug|acrB	0.676968634	57.8	1039	1068	0	1	NA
Tub.85-k141_119072_95-1..1028	Tub.85	Potential_loser	ACRB	1	1028	k141_119072_95	aminoglycoside	undefined	0.280660043	57.8	1039	1068	0	1	NA
Tub.11-k141_113906_9-1..223	Tub.11	Probable	KDPE	1	223	k141_113906_9	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.970637329	52.6	228	214	1.87e-70	1	NA
Tub.58-k141_51373_1-23..210	Tub.58	Potential	MTRA	23	210	k141_51373_1	aminoglycoside	undefined	0.543073598	73.9	188	278	1.37e-96	1	NA
Tub.58-k141_51373_1-23..210	Tub.58	Potential_loser	MTRA	23	210	k141_51373_1	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.268296869	73.9	188	278	1.37e-96	1	NA
Tub.105-k141_301449_2-48..315	Tub.105	Potential	OLEC	48	315	k141_301449_2	tetracycline	undefined	0.830807275	50.6	269	238	5.22e-78	1	NA
Tub.105-k141_301449_2-48..315	Tub.105	Potential_loser	OLEC	48	315	k141_301449_2	MLS	AAA26793|FEATURES|oleC|MLS|oleC	0.072392655	50.6	269	238	5.22e-78	1	NA
Tub.82-k141_104869_5-25..1153	Tub.82	Probable	RPOB2	25	1153	k141_104869_5	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.979871993	56.1	1210	1225	0	1	NA
Tub.94-k141_509208_2-2..136	Tub.94	Probable	GOLS	2	136	k141_509208_2	multidrug	NP_459349.1|FEATURES|golS|multidrug|golS	0.997419041	57	135	152	2.38e-48	1	NA
Tub.82-k141_174961_3-3..849	Tub.82	Potential	SMEE	3	849	k141_174961_3	peptide	undefined	0.417572138	51.2	856	791	9.77e-276	1	NA
Tub.82-k141_174961_3-3..849	Tub.82	Potential_loser	SMEE	3	849	k141_174961_3	aminoglycoside	undefined	0.189146045	51.2	856	791	9.77e-276	1	NA
Tub.104-k141_241027_2-3..131	Tub.104	Probable	BLEOMYCIN_RESISTANCE_PROTEIN	3	131	k141_241027_2	glycopeptide	gi:452754543:emb:CCP89775.1:|FEATURES|bleomycin_resistance_protein|glycopeptide|bleomycin_resistance_protein	0.99999288	53	132	144	7.13e-46	1	NA
Tub.83-k141_406037_2-15..290	Tub.83	Probable	LRA	15	290	k141_406037_2	beta-lactam	EU408351.1.gene26.p01|FEATURES|LRA-12|beta-lactam|LRA	0.99998471	65.9	276	392	1.71e-138	1	NA
Tub.10-k141_388538_1-1..109	Tub.10	Potential	RBPA	1	109	k141_388538_1	peptide	undefined	0.262488561	68.2	110	149	1.79e-48	1	NA
Tub.10-k141_388538_1-1..109	Tub.10	Potential_loser	RBPA	1	109	k141_388538_1	multidrug	undefined	0.228180259	68.2	110	149	1.79e-48	1	NA
Tub.10-k141_706394_1-1..97	Tub.10	Potential	RBPA	1	97	k141_706394_1	peptide	undefined	0.258263845	61.2	98	128	3.76e-40	1	NA
Tub.10-k141_706394_1-1..97	Tub.10	Potential_loser	RBPA	1	97	k141_706394_1	multidrug	undefined	0.225389485	61.2	98	128	3.76e-40	1	NA
Tub.4-k141_92066_1-8..81	Tub.4	Probable	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	81	k141_92066_1	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.851913448	50.7	75	75.9	2.64e-19	1	NA
Tub.4-k141_92066_1-8..81	Tub.4	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	81	k141_92066_1	peptide	undefined	0.075576138	50.7	75	75.9	2.64e-19	1	NA
Tub.94-k141_97286_1-7..118	Tub.94	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	7	118	k141_97286_1	aminoglycoside	undefined	0.303367799	51.3	113	109	1.89e-31	1	NA
Tub.94-k141_97286_1-7..118	Tub.94	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	7	118	k141_97286_1	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.29604627	51.3	113	109	1.89e-31	1	NA
Tub.30-k141_114280_2-1..126	Tub.30	Probable	GOLS	1	126	k141_114280_2	multidrug	NP_459349.1|FEATURES|golS|multidrug|golS	0.997574458	58.7	126	156	5.61e-50	1	NA
Tub.85-k141_624930_1-250..1122	Tub.85	Probable	RPOB2	250	1122	k141_624930_1	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.985287321	51.2	1031	966	0	1	NA
Tub.18-k141_278846_1-8..81	Tub.18	Probable	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	81	k141_278846_1	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.874564454	50	74	78.6	1.65e-19	1	NA
Tub.18-k141_278846_1-8..81	Tub.18	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	81	k141_278846_1	peptide	undefined	0.064720049	50	74	78.6	1.65e-19	1	NA
Tub.26-k141_592912_1-8..262	Tub.26	Probable	KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	8	262	k141_592912_1	aminoglycoside	A7FMC1|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.999999844	52.2	255	231	2.00e-76	1	NA
Tub.104-k141_35396_1-10..151	Tub.104	Probable	AAC(3)-I	10	151	k141_35396_1	aminoglycoside	AJ511268.1.gene3.p01|FEATURES|aac(3)-I|aminoglycoside|aac(3)-I	0.999999959	60.4	149	164	3.51e-53	1	NA
Tub.26-k141_474541_2-1..119	Tub.26	Potential	MVAT	1	119	k141_474541_2	peptide	undefined	0.308741192	55	120	127	1.66e-39	1	NA
Tub.26-k141_474541_2-1..119	Tub.26	Potential_loser	MVAT	1	119	k141_474541_2	multidrug	NP_253005.1|FEATURES|MvaT|multidrug|MvaT	0.141315347	55	120	127	1.66e-39	1	NA
Tub.104-k141_312880_5-7..226	Tub.104	Potential	MTRA	7	226	k141_312880_5	aminoglycoside	undefined	0.550076252	74.5	220	328	1.09e-115	1	NA
Tub.104-k141_312880_5-7..226	Tub.104	Potential_loser	MTRA	7	226	k141_312880_5	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.267379738	74.5	220	328	1.09e-115	1	NA
Tub.15-k141_276886_1-1..106	Tub.15	Potential	RBPA	1	106	k141_276886_1	peptide	undefined	0.258875599	58.9	107	126	1.31e-39	1	NA
Tub.15-k141_276886_1-1..106	Tub.15	Potential_loser	RBPA	1	106	k141_276886_1	multidrug	undefined	0.225519006	58.9	107	126	1.31e-39	1	NA
Tub.105-k141_27384_3-7..226	Tub.105	Potential	MTRA	7	226	k141_27384_3	aminoglycoside	undefined	0.569773522	73.2	220	326	1.32e-114	1	NA
Tub.105-k141_27384_3-7..226	Tub.105	Potential_loser	MTRA	7	226	k141_27384_3	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.264742841	73.2	220	326	1.32e-114	1	NA
Tub.12-k141_248647_2-6..118	Tub.12	Potential	ADP-RIBOSYLATING_TRANSFERASE_ARR	6	118	k141_248647_2	multidrug	undefined	0.335500282	71.7	113	168	6.35e-54	1	NA
Tub.12-k141_248647_2-6..118	Tub.12	Potential_loser	ADP-RIBOSYLATING_TRANSFERASE_ARR	6	118	k141_248647_2	peptide	undefined	0.214461022	71.7	113	168	6.35e-54	1	NA
Tub.12-k141_21017_1-41..235	Tub.12	Potential	PEDO-3	41	235	k141_21017_1	aminoglycoside	undefined	0.291197794	52.3	195	227	3.49e-76	1	NA
Tub.12-k141_21017_1-41..235	Tub.12	Potential_loser	PEDO-3	41	235	k141_21017_1	peptide	undefined	0.23592347	52.3	195	227	3.49e-76	1	NA
Tub.104-k141_82614_2-1..156	Tub.104	Probable	AAC(6')-I	1	156	k141_82614_2	aminoglycoside	AB116646.1.gene1.p01|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	0.999662262	59.1	164	174	8.74e-57	1	NA
Tub.18-k141_508681_2-5..220	Tub.18	Potential	MTRA	5	220	k141_508681_2	aminoglycoside	undefined	0.591164137	74.5	216	323	1.42e-113	1	NA
Tub.18-k141_508681_2-5..220	Tub.18	Potential_loser	MTRA	5	220	k141_508681_2	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.261294015	74.5	216	323	1.42e-113	1	NA
Tub.15-k141_334948_2-4..120	Tub.15	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	120	k141_334948_2	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.319376255	51.7	118	123	3.23e-36	1	NA
Tub.15-k141_334948_2-4..120	Tub.15	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	120	k141_334948_2	aminoglycoside	undefined	0.296999271	51.7	118	123	3.23e-36	1	NA
Tub.85-k141_128060_14-1..126	Tub.85	Probable	GOLS	1	126	k141_128060_14	multidrug	NP_459349.1|FEATURES|golS|multidrug|golS	0.996764735	54	126	143	9.47e-45	1	NA
Tub.4-k141_976272_1-4..118	Tub.4	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	118	k141_976272_1	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.342964907	54.3	116	130	2.79e-39	1	NA
Tub.4-k141_976272_1-4..118	Tub.4	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	118	k141_976272_1	aminoglycoside	undefined	0.289478615	54.3	116	130	2.79e-39	1	NA
Tub.18-k141_102989_2-1..116	Tub.18	Probable	EMRE	1	116	k141_102989_2	multidrug	NC_008702.1.4608023.p01|FEATURES|emrE|multidrug|emrE	0.994710134	71.6	116	160	6.68e-53	1	NA
Tub.51-k141_118050_2-9..208	Tub.51	Probable	MEXL	9	208	k141_118050_2	multidrug	NP_252368.1|FEATURES|MexL|multidrug|MexL	0.994769086	50.2	201	183	5.30e-59	1	NA
Tub.85-k141_335872_1-1..181	Tub.85	Probable	KDPE	1	181	k141_335872_1	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.920461747	52.5	181	167	6.57e-53	1	NA
Tub.82-k141_224751_1-7..214	Tub.82	Probable	OMPR	7	214	k141_224751_1	multidrug	NC_008702.1.4607594.p01|FEATURES|ompR|multidrug|ompR	0.983643066	50.5	210	190	2.52e-61	1	NA
Tub.59-k141_71826_1-1..132	Tub.59	Probable	GOLS	1	132	k141_71826_1	multidrug	NP_459349.1|FEATURES|golS|multidrug|golS	0.997641562	59.1	132	154	2.82e-49	1	NA
Tub.82-k141_385675_16-9..262	Tub.82	Potential	BACA	9	262	k141_385675_16	multidrug	undefined	0.577569618	50.2	259	223	4.95e-73	1	NA
Tub.82-k141_385675_16-9..262	Tub.82	Potential_loser	BACA	9	262	k141_385675_16	fluoroquinolone	undefined	0.120552936	50.2	259	223	4.95e-73	1	NA
Tub.82-k141_402973_7-9..261	Tub.82	Probable	KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	9	261	k141_402973_7	aminoglycoside	YP_002240485|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.999999871	53.5	254	245	1.41e-81	1	NA
Tub.58-k141_168380_1-4..184	Tub.58	Potential	MTRA	4	184	k141_168380_1	aminoglycoside	undefined	0.411936036	50.3	187	169	2.98e-53	1	NA
Tub.58-k141_168380_1-4..184	Tub.58	Potential_loser	MTRA	4	184	k141_168380_1	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.275730371	50.3	187	169	2.98e-53	1	NA
Tub.10-k141_244518_2-8..81	Tub.10	Probable	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	81	k141_244518_2	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.884292842	51.4	74	74.3	1.19e-17	1	NA
Tub.10-k141_244518_2-8..81	Tub.10	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	8	81	k141_244518_2	peptide	undefined	0.059960411	51.4	74	74.3	1.19e-17	1	NA
Tub.58-k141_377591_3-9..264	Tub.58	Probable	KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	9	264	k141_377591_3	aminoglycoside	YP_001439344|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.999957303	51.7	271	246	8.02e-82	1	NA
Tub.34-k141_589353_1-1..118	Tub.34	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	118	k141_589353_1	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.321168113	50.4	119	117	2.79e-34	1	NA
Tub.34-k141_589353_1-1..118	Tub.34	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	118	k141_589353_1	aminoglycoside	undefined	0.296449023	50.4	119	117	2.79e-34	1	NA
Tub.31-k141_584134_320-5..106	Tub.31	Potential	ABES	5	106	k141_584134_320	fluoroquinolone	NC_010410.6003348.p01|FEATURES|abeS|multidrug|abeS	0.780740705	59.8	102	114	6.81e-35	1	NA
Tub.31-k141_584134_320-5..106	Tub.31	Potential_loser	ABES	5	106	k141_584134_320	multidrug	NC_010410.6003348.p01|FEATURES|abeS|multidrug|abeS	0.153830915	59.8	102	114	6.81e-35	1	NA
Tub.31-k141_646978_2-4..81	Tub.31	Probable	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	81	k141_646978_2	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.907569824	55.1	78	90.1	7.00e-24	1	NA
Tub.59-k141_143224_1-22..287	Tub.59	Probable	LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	22	287	k141_143224_1	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.999722109	61.3	269	347	1.11e-121	1	NA
Tub.30-k141_233881_1-15..143	Tub.30	Probable	GOLS	15	143	k141_233881_1	multidrug	NP_459349.1|FEATURES|golS|multidrug|golS	0.991244807	50	132	119	2.52e-35	1	NA
Tub.85-k141_40675_2-4..305	Tub.85	Potential	ROSA	4	305	k141_40675_2	peptide	undefined	0.33462993	64.8	304	364	5.23e-126	1	NA
Tub.85-k141_40675_2-4..305	Tub.85	Potential_loser	ROSA	4	305	k141_40675_2	multidrug	undefined	0.183817483	64.8	304	364	5.23e-126	1	NA
Tub.26-k141_195118_3-1..110	Tub.26	Potential	PSEUDOMONAS_AERUGINOSA_EMRE	1	110	k141_195118_3	peptide	undefined	0.552462239	64.5	110	138	6.09e-44	1	NA
Tub.26-k141_195118_3-1..110	Tub.26	Potential_loser	PSEUDOMONAS_AERUGINOSA_EMRE	1	110	k141_195118_3	fosfomycin	undefined	0.189537545	64.5	110	138	6.09e-44	1	NA
Tub.16-k141_645228_2-1..109	Tub.16	Potential	RBPA	1	109	k141_645228_2	peptide	undefined	0.262488561	68.2	110	152	1.54e-49	1	NA
Tub.16-k141_645228_2-1..109	Tub.16	Potential_loser	RBPA	1	109	k141_645228_2	multidrug	undefined	0.228180259	68.2	110	152	1.54e-49	1	NA
Tub.16-k141_328213_3-5..137	Tub.16	Potential	DFRA22	5	137	k141_328213_3	peptide	undefined	0.34096912	55.6	133	143	3.41e-45	1	NA
Tub.16-k141_328213_3-5..137	Tub.16	Potential_loser	DFRA22	5	137	k141_328213_3	multidrug	undefined	0.143002533	55.6	133	143	3.41e-45	1	NA
Tub.85-k141_511170_1-5..224	Tub.85	Probable	KDPE	5	224	k141_511170_1	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.985605858	61.5	221	286	4.20e-99	1	NA
Tub.83-k141_759861_2-12..210	Tub.83	Probable	CAMP-REGULATORY_PROTEIN	12	210	k141_759861_2	unclassified	gi:490367208:ref:WP_004246872.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.995283947	53.9	204	223	1.38e-74	1	NA
Tub.82-k141_192076_106-4..78	Tub.82	Probable	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	78	k141_192076_106	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.868343094	52	75	74.7	5.76e-18	1	NA
Tub.82-k141_192076_106-4..78	Tub.82	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	78	k141_192076_106	peptide	undefined	0.067728119	52	75	74.7	5.76e-18	1	NA
Tub.10-k141_554721_1-7..81	Tub.10	Probable	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	7	81	k141_554721_1	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.900309042	50.7	75	77.4	1.01e-20	1	NA
Tub.58-k141_632367_3-8..464	Tub.58	Potential	OPRM	8	464	k141_632367_3	multidrug	NC_008702.1.4607681.p01|FEATURES|oprM|multidrug|oprM	0.464041564	60.9	458	474	2.34e-165	1	NA
Tub.58-k141_632367_3-8..464	Tub.58	Potential_loser	OPRM	8	464	k141_632367_3	aminoglycoside	undefined	0.212049747	60.9	458	474	2.34e-165	1	NA
Tub.105-k141_55701_8-18..328	Tub.105	Probable	TETA(48)	18	328	k141_55701_8	tetracycline	APB03214.1|FEATURES|tetA(48)|tetracycline|tetA(48)	0.996182678	50	312	302	7.39e-102	1	NA
Tub.12-k141_411759_2-2..143	Tub.12	Probable	ADP-RIBOSYLATING_TRANSFERASE_ARR	2	143	k141_411759_2	rifamycin	AF001493.1.orf0.gene.p01|FEATURES|ADP-ribosylating_transferase_arr|rifamycin|ADP-ribosylating_transferase_arr	0.999294549	75.4	142	222	2.35e-76	1	NA
Tub.58-k141_216328_9-3..1025	Tub.58	Potential	MEXK	3	1025	k141_216328_9	triclosan	undefined	0.766783556	50.3	1050	961	0	1	NA
Tub.58-k141_216328_9-3..1025	Tub.58	Potential_loser	MEXK	3	1025	k141_216328_9	multidrug	AAG07064.1|FEATURES|MexK|multidrug|MexK	0.089806195	50.3	1050	961	0	1	NA
Tub.58-k141_372839_2-1..123	Tub.58	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	123	k141_372839_2	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.33360318	50.4	123	121	1.43e-36	1	NA
